x,y,tvd,md,well
457010.7513,6782707.01,1534.915752,1547.427592,A10
457010.8529,6782706.993,1535.02818,1547.580091,A10
457010.9544,6782706.976,1535.140539,1547.732492,A10
457011.0558,6782706.959,1535.252826,1547.884792,A10
457011.1573,6782706.941,1535.365188,1548.037191,A10
457011.259,6782706.924,1535.477703,1548.189792,A10
457011.3604,6782706.907,1535.589998,1548.342092,A10
457011.4619,6782706.89,1535.702369,1548.494491,A10
457011.5634,6782706.873,1535.81467,1548.646792,A10
457011.665,6782706.855,1535.927194,1548.799392,A10
457011.7664,6782706.838,1536.0395,1548.951692,A10
457011.8679,6782706.821,1536.151882,1549.104092,A10
457011.9694,6782706.804,1536.264193,1549.256392,A10
457012.0709,6782706.787,1536.37658,1549.408792,A10
457012.1724,6782706.77,1536.489043,1549.561291,A10
457012.2739,6782706.752,1536.601437,1549.713692,A10
457012.3753,6782706.735,1536.71376,1549.865992,A10
457012.4768,6782706.718,1536.826159,1550.018392,A10
457012.5784,6782706.701,1536.938707,1550.170991,A10
457012.6798,6782706.684,1537.051039,1550.323292,A10
457012.7813,6782706.667,1537.163446,1550.475692,A10
457012.8827,6782706.65,1537.275783,1550.627992,A10
457012.9841,6782706.632,1537.388122,1550.780292,A10
457013.0857,6782706.615,1537.500685,1550.932892,A10
457013.1871,6782706.598,1537.613103,1551.085292,A10
457013.2885,6782706.581,1537.72545,1551.237592,A10
457013.3899,6782706.564,1537.837872,1551.389991,A10
457013.4915,6782706.547,1537.950373,1551.542492,A10
457013.5929,6782706.529,1538.062802,1551.694892,A10
457013.6943,6782706.512,1538.175159,1551.847191,A10
457013.7957,6782706.495,1538.287594,1551.999592,A10
457013.8973,6782706.478,1538.400179,1552.152192,A10
457013.9987,6782706.461,1538.512545,1552.304492,A10
457014.1001,6782706.444,1538.624987,1552.456892,A10
457014.2015,6782706.426,1538.737358,1552.609192,A10
457014.3028,6782706.409,1538.849732,1552.761492,A10
457014.4044,6782706.392,1538.96233,1552.914092,A10
457014.5058,6782706.375,1539.074784,1553.066492,A10
457014.6071,6782706.358,1539.187167,1553.218792,A10
457014.7085,6782706.341,1539.299626,1553.371192,A10
457014.81,6782706.324,1539.412162,1553.523692,A10
457014.9114,6782706.306,1539.524627,1553.676092,A10
457015.0128,6782706.289,1539.637021,1553.828392,A10
457015.1142,6782706.272,1539.749491,1553.980792,A10
457015.2157,6782706.255,1539.862111,1554.133392,A10
457015.317,6782706.238,1539.974513,1554.285692,A10
457015.4184,6782706.221,1540.086991,1554.438092,A10
457015.5197,6782706.203,1540.199397,1554.590391,A10
457015.6211,6782706.186,1540.311808,1554.742692,A10
457015.7226,6782706.169,1540.424442,1554.895292,A10
457015.824,6782706.152,1540.536931,1555.047692,A10
457015.9253,6782706.135,1540.649349,1555.199992,A10
457016.0266,6782706.118,1540.761842,1555.352391,A10
457016.1281,6782706.101,1540.874414,1555.504892,A10
457016.2294,6782706.083,1540.986914,1555.657292,A10
457016.3307,6782706.066,1541.099343,1555.809592,A10
457016.4321,6782706.049,1541.211848,1555.961992,A10
457016.5336,6782706.032,1541.324503,1556.114591,A10
457016.6349,6782706.015,1541.436941,1556.266892,A10
457016.7362,6782705.998,1541.549455,1556.419292,A10
457016.8375,6782705.981,1541.661898,1556.571592,A10
457016.9388,6782705.963,1541.774343,1556.723892,A10
457017.0403,6782705.946,1541.887012,1556.876491,A10
457017.1416,6782705.929,1541.999538,1557.028892,A10
457017.2429,6782705.912,1542.111992,1557.181192,A10
457017.3442,6782705.895,1542.224522,1557.333592,A10
457017.4456,6782705.878,1542.337129,1557.486092,A10
457017.547,6782705.861,1542.449665,1557.638492,A10
457017.6482,6782705.843,1542.562128,1557.790791,A10
457017.7495,6782705.826,1542.67467,1557.943192,A10
457017.851,6782705.809,1542.787361,1558.095792,A10
457017.9523,6782705.792,1542.899834,1558.248092,A10
457018.0536,6782705.775,1543.012383,1558.400492,A10
457018.1548,6782705.758,1543.124861,1558.552792,A10
