depth,poro,perm,well
1776.629,0.221993,91.589828,A10
1777.129,0.220385,106.86949,A10
1777.629,0.220796,124.02939,A10
1778.129,0.240255,128.86575,A10
1778.629,0.265796,116.84349,A10
1779.129,0.269276,102.66576,A10
1779.629,0.265712,91.027161,A10
1780.129,0.246646,82.32859,A10
1780.629,0.222631,76.698051,A10
1781.129,0.216066,67.649544,A10
1781.629,0.215072,53.11216,A10
1782.129,0.232219,44.028507,A10
1782.629,0.255158,43.892437,A10
1783.129,0.267043,55.670498,A10
1783.629,0.275399,80.309875,A10
1784.129,0.272065,91.849297,A10
1784.629,0.264999,81.999634,A10
1785.129,0.268366,71.031075,A10
1785.629,0.275063,65.415688,A10
1786.129,0.277112,71.192429,A10
1786.629,0.277676,90.289467,A10
1787.129,0.266576,106.91239,A10
1787.629,0.251753,116.01821,A10
1788.129,0.246861,123.62156,A10
1788.629,0.245141,131.64284,A10
1789.129,0.255044,142.58202,A10
1789.629,0.268658,157.23732,A10
1790.129,0.26835,158.91769,A10
1790.629,0.263596,142.29387,A10
1791.129,0.241201,122.23333,A10
1791.629,0.213172,103.48309,A10
1792.129,0.212642,96.845917,A10
1792.629,0.220891,105.77104,A10
1793.129,0.226608,110.87703,A10
1793.629,0.231517,105.97563,A10
1794.129,0.24659,100.80957,A10
1794.629,0.264908,98.489609,A10
1795.129,0.253791,112.74061,A10
1795.629,0.233276,147.94478,A10
1796.129,0.240596,165.6772,A10
1796.629,0.256804,153.6692,A10
1797.129,0.24817,129.77917,A10
1797.629,0.231603,99.709045,A10
1798.129,0.2272,90.300453,A10
1798.629,0.226681,110.12363,A10
1799.129,0.238112,294.27081,A10
1799.629,0.253359,685.87549,A10
1800.129,0.268543,1144.3641,A10
1800.629,0.283706,1624.853,A10
1801.129,0.27664,1672.394,A10
1801.629,0.262476,1141.7274,A10
1802.129,0.263746,637.81702,A10
1802.629,0.269943,353.82101,A10
1803.129,0.247249,227.23524,A10
1803.629,0.215331,238.10281,A10
1804.129,0.230147,241.60901,A10
1804.629,0.259885,191.51607,A10
1805.129,0.266417,143.36839,A10
1805.629,0.26554,114.90069,A10
1806.129,0.263477,102.51011,A10
1806.629,0.261035,105.04631,A10
1807.129,0.253737,98.729218,A10
1807.629,0.244888,75.96611,A10
1808.129,0.232277,60.165787,A10
1808.629,0.218466,58.802418,A10
1809.129,0.237688,71.396149,A10
1809.629,0.267458,97.793755,A10
1810.129,0.271093,107.133,A10
1810.629,0.266382,89.559906,A10
1811.129,0.261744,70.468803,A10
1811.629,0.257129,57.967815,A10
1812.129,0.261213,53.159237,A10
1812.629,0.268074,56.39502,A10
1813.129,0.265108,55.583607,A10
1813.629,0.259003,46.864288,A10
1814.129,0.249568,38.727524,A10
1814.629,0.23907,33.884205,A10
1815.129,0.236548,33.90131,A10
1815.629,0.236574,39.27916,A10
1816.129,0.238438,44.607162,A10
1816.629,0.240889,48.157784,A10
1817.129,0.228713,63.211971,A10
1817.629,0.211867,94.010201,A10
1818.129,0.220786,149.47649,A10
1818.629,0.237931,232.46017,A10
1819.129,0.23635,263.86328,A10
1819.629,0.228791,218.43065,A10
1820.129,0.225017,155.90601,A10
1820.629,0.222453,95.364876,A10
1821.129,0.233169,61.631313,A10
1821.629,0.248125,62.631386,A10
1822.129,0.240004,72.832466,A10
1822.629,0.224514,84.082275,A10
1823.129,0.231,108.04288,A10
1823.629,0.244502,148.43784,A10
1824.129,0.2512,225.73421,A10
1824.629,0.255725,346.46686,A10
1825.129,0.265438,396.04596,A10
1825.629,0.276807,337.88422,A10
1826.129,0.266192,241.29431,A10
1826.629,0.248558,128.40697,A10
1827.129,0.248941,64.766678,A10
1827.629,0.255076,71.301086,A10
1828.129,0.251527,82.611061,A10
1828.629,0.244885,77.815376,A10
1829.129,0.241659,75.239037,A10
1829.629,0.239524,80.733002,A10
1830.129,0.2435,141.69885,A10
1830.629,0.249427,273.27139,A10
1831.129,0.242892,367.83246,A10
1831.629,0.232378,391.02078,A10
1832.129,0.243266,367.77448,A10
1832.629,0.260988,306.05615,A10
1833.129,0.262503,233.84225,A10
1833.629,0.258844,160.06544,A10
1834.129,0.249783,103.15133,A10
1834.629,0.238997,68.983002,A10
1835.129,0.228952,51.595287,A10
1835.629,0.219142,49.083572,A10
1836.129,0.232127,49.410126,A10
1836.629,0.25239,48.731422,A10
1837.129,0.250627,50.95446,A10
1837.629,0.241831,57.326706,A10
1838.129,0.239,67.308022,A10
1838.629,0.238075,80.725929,A10
1839.129,0.243252,97.592644,A10
1839.629,0.250377,117.91203,A10
1840.129,0.251669,130.92972,A10
1840.629,0.2511,133.21194,A10
1841.129,0.236023,124.99316,A10
1841.629,0.216314,106.34822,A10
1842.129,0.227753,89.030426,A10
1842.629,0.249138,76.79248,A10
1843.129,0.244865,66.331474,A10
1843.629,0.232401,56.592823,A10
1844.129,0.237544,47.596359,A10
1844.629,0.248307,39.348427,A10
1845.129,0.244195,33.286579,A10
1845.629,0.235333,29.869823,A10
1846.129,0.234568,32.900459,A10
1846.629,0.236388,43.592525,A10
1847.129,0.227138,64.257736,A10
1847.629,0.214355,95.634201,A10
1848.129,0.232009,153.17841,A10
1848.629,0.259381,241.82541,A10
1849.129,0.256861,308.0202,A10
1849.629,0.244796,334.66321,A10
1850.129,0.242565,293.91263,A10
1850.629,0.243475,176.87877,A10
1851.129,0.249004,94.115044,A10
1851.629,0.256009,80.91993,A10
1852.129,0.247171,99.711693,A10
1852.629,0.233275,138.49089,A10
1853.129,0.247581,193.07751,A10
1853.629,0.270891,262.13696,A10
1854.129,0.260473,286.33588,A10
1854.629,0.239286,246.72984,A10
1855.129,0.243833,187.05798,A10
1855.629,0.256595,121.28576,A10
1856.129,0.266221,76.336838,A10
1856.629,0.274845,60.807659,A10
1857.129,0.263335,60.105103,A10
1857.629,0.245396,69.56974,A10
1858.129,0.235372,83.078331,A10
1858.629,0.227875,98.675797,A10
1859.129,0.241616,110.92904,A10
1859.629,0.262137,118.10331,A10
1860.129,0.262652,127.86396,A10
1860.629,0.256778,142.65842,A10
1861.129,0.25286,165.69376,A10
1861.629,0.249568,197.99396,A10
1862.129,0.256352,258.4158,A10
1862.629,0.266354,352.98001,A10
1863.129,0.271553,404.00314,A10
1863.629,0.275218,386.68167,A10
1864.129,0.273739,328.11163,A10
1864.629,0.270618,236.94443,A10
1865.129,0.264173,162.88042,A10
1865.629,0.256667,121.78838,A10
1866.129,0.259169,96.813072,A10
1866.629,0.264866,82.5728,A10
1867.129,0.270586,76.518478,A10
1867.629,0.276312,77.836212,A10
